Code,Label,Variable
45314,Bremen,BPLD
45315,Hamburg,BPLD
45316,Hanover,BPLD
45317,Hessen,BPLD
45318,Hesse-Nassau,BPLD
45319,Lippe,BPLD
45320,Lubeck,BPLD
45321,Oldenburg,BPLD
45322,Rheinland,BPLD
45323,Schaumburg-Lippe,BPLD
45324,Schleswig,BPLD
45325,Sigmaringen,BPLD
45326,Schwarzburg,BPLD
45327,Westphalia,BPLD
45328,Wurttemberg,BPLD
45329,Waldeck,BPLD
45330,Wittenberg,BPLD
45331,Frankfurt,BPLD
45332,Saarland,BPLD
45333,Nordrhein-Westfalen,BPLD
45340,East Germany,BPLD
45341,Anhalt,BPLD
45342,Brandenburg,BPLD
45344,Kingdom of Saxony,BPLD
45345,Mecklenburg,BPLD
45346,Saxony,BPLD
45347,Thuringian States,BPLD
45348,Sachsen-Meiningen,BPLD
45349,Sachsen-Weimar-Eisenach,BPLD
45350,Probable Saxony,BPLD
45351,Schwerin,BPLD
45352,Strelitz,BPLD
45353,Probably Thuringian States,BPLD
45360,"Prussia, nec",BPLD
45361,Hohenzollern,BPLD
45362,Niedersachsen,BPLD
45400,Hungary,BPLD
45500,Poland,BPLD
45510,Austrian Poland,BPLD
45511,Galicia,BPLD
45520,German Poland,BPLD
45521,East Prussia,BPLD
45522,Pomerania,BPLD
45523,Posen,BPLD
45524,Prussian Poland,BPLD
45525,Silesia,BPLD
45526,West Prussia,BPLD
45530,Russian Poland,BPLD
45600,Romania,BPLD
45610,Transylvania,BPLD
45700,Yugoslavia,BPLD
45710,Croatia,BPLD
45720,Montenegro,BPLD
45730,Serbia,BPLD
45740,Bosnia,BPLD
45750,Dalmatia,BPLD
45760,Slovonia,BPLD
45770,Carniola,BPLD
45780,Slovenia,BPLD
45790,Kosovo,BPLD
45800,"Central Europe, ns",BPLD
45900,"Eastern Europe, ns",BPLD
46000,Estonia,BPLD
46100,Latvia,BPLD
46200,Lithuania,BPLD
46300,"Baltic States, ns",BPLD
46500,Other USSR/Russia,BPLD
46510,Byelorussia,BPLD
46520,Moldavia,BPLD
46521,Bessarabia,BPLD
46530,Ukraine,BPLD
46540,Armenia,BPLD
46541,Azerbaijan,BPLD
46542,Republic of Georgia,BPLD
46543,Kazakhstan,BPLD
46544,Kirghizia,BPLD
46545,Tadzhik,BPLD
46546,Turkmenistan,BPLD
46547,Uzbekistan,BPLD
46548,Siberia,BPLD
46590,"USSR, ns",BPLD
49900,"Europe, ns.",BPLD
50000,China,BPLD
50010,Hong Kong,BPLD
50020,Macau,BPLD
50030,Mongolia,BPLD
50040,Taiwan,BPLD
50100,Japan,BPLD
50200,Korea,BPLD
50210,North Korea,BPLD
50220,South Korea,BPLD
50900,"East Asia, ns",BPLD
51000,Brunei,BPLD
51100,Cambodia (Kampuchea),BPLD
51200,Indonesia,BPLD
51210,East Indies,BPLD
51220,East Timor,BPLD
51300,Laos,BPLD
51400,Malaysia,BPLD
51500,Philippines,BPLD
51600,Singapore,BPLD
51700,Thailand,BPLD
51800,Vietnam,BPLD
51900,"Southeast Asia, ns",BPLD
51910,"Indochina, ns",BPLD
52000,Afghanistan,BPLD
52100,India,BPLD
52110,Bangladesh,BPLD
52120,Bhutan,BPLD
52130,Burma (Myanmar),BPLD
52140,Pakistan,BPLD
52150,Sri Lanka (Ceylon),BPLD
52200,Iran,BPLD
52300,Maldives,BPLD
52400,Nepal,BPLD
53000,Bahrain,BPLD
53100,Cyprus,BPLD
53200,Iraq,BPLD
53210,Mesopotamia,BPLD
53300,Iraq/Saudi Arabia,BPLD
53400,Israel/Palestine,BPLD
53410,Gaza Strip,BPLD
53420,Palestine,BPLD
53430,West Bank,BPLD
53440,Israel,BPLD
53500,Jordan,BPLD
53600,Kuwait,BPLD
53700,Lebanon,BPLD
53800,Oman,BPLD
53900,Qatar,BPLD
54000,Saudi Arabia,BPLD
54100,Syria,BPLD
54200,Turkey,BPLD
54210,European Turkey,BPLD
54220,Asian Turkey,BPLD
54300,United Arab Emirates,BPLD
54400,Yemen Arab Republic (North),BPLD
54500,"Yemen, PDR (South)",BPLD
54600,"Persian Gulf States, ns",BPLD
54700,"Middle East, ns",BPLD
54800,"Southwest Asia, nec/ns",BPLD
54900,"Asia Minor, ns",BPLD
55000,"South Asia, nec",BPLD
59900,"Asia, nec/ns",BPLD
60000,Africa,BPLD
60010,Northern Africa,BPLD
60011,Algeria,BPLD
60012,Egypt/United Arab Rep.,BPLD
60013,Libya,BPLD
60014,Morocco,BPLD
60015,Sudan,BPLD
60016,Tunisia,BPLD
60017,Western Sahara,BPLD
60019,"North Africa, ns",BPLD
60020,Benin,BPLD
60021,Burkina Faso,BPLD
60022,Gambia,BPLD
60023,Ghana,BPLD
60024,Guinea,BPLD
60025,Guinea-Bissau,BPLD
60026,Ivory Coast,BPLD
60027,Liberia,BPLD
60028,Mali,BPLD
60029,Mauritania,BPLD
60030,Niger,BPLD
60031,Nigeria,BPLD
60032,Senegal,BPLD
60033,Sierra Leone,BPLD
60034,Togo,BPLD
60038,"Western Africa, ns",BPLD
60039,"French West Africa, ns",BPLD
60040,British Indian Ocean Territory,BPLD
60041,Burundi,BPLD
60042,Comoros,BPLD
60043,Djibouti,BPLD
60044,Ethiopia,BPLD
60045,Kenya,BPLD
