,YEAR,SAMPLE,SERIAL,HHWT,CLUSTER,STATEFIP,GQ,PERNUM,PERWT,SEX,AGE,RACE,RACED,HISPAN,HISPAND,BPL,BPLD,NATIVITY,CITIZEN,YRSUSA2,LANGUAGE,LANGUAGED,SPEAKENG,RACESING,RACESINGD,OCC1950,IND1950,OCCSCORE,HISTID
2329513,1920,192003,2245522,1.0,,8,1,1,1.0,1,54,1,100,0,0,453,45300,5,4.0,5.0,,,2.0,1.0,10.0,100,105,14,D1E736E4-F3B8-4E7A-A918-525D029633DB
2126152,1920,192003,2195296,1.0,,8,1,4,1.0,2,16,1,100,0,0,8,800,1,0.0,0.0,,,2.0,1.0,10.0,999,0,0,29810001-6563-48C1-9F48-107E1275BA16
1716538,1920,192003,2068593,1.0,,8,1,3,1.0,2,11,1,100,0,0,8,800,1,0.0,0.0,,,2.0,1.0,10.0,999,0,0,3A79C8F4-78FB-45D5-BF2E-94DF8F4CB495
4321714,1940,194002,3982300,1.0,,8,1,2,1.0,2,51,1,100,0,0,465,46500,0,3.0,,,,,,,999,0,0,16060767-EE0B-4C75-8069-E031CA7DA83B
2576485,1930,193004,2939379,1.0,,8,1,3,1.0,2,20,1,100,0,0,8,800,1,0.0,0.0,0.0,0.0,2.0,1.0,10.0,999,0,0,B033A2BE-CDA0-4934-88DE-B0B7EFC3780B
3406025,1930,193004,3172758,1.0,,8,1,1,1.0,1,67,1,100,0,0,19,1900,4,0.0,0.0,0.0,0.0,2.0,1.0,10.0,979,246,0,01D3578B-B65D-4962-B458-A4848E8F7DE3
3465848,1930,193004,3188598,1.0,,8,1,2,1.0,2,26,1,100,0,0,47,4700,1,0.0,0.0,0.0,0.0,2.0,1.0,10.0,999,0,0,D7EF5AD1-B654-40CF-8508-2081C57EB51E
680480,1900,190004,1172962,1.0,,8,4,3,1.0,2,3,1,100,0,0,29,2900,1,0.0,0.0,,,0.0,1.0,10.0,999,0,0,1185790F-7E8C-46E6-92E6-AC61A19C88AA
3012581,1930,193004,3066890,1.0,,8,1,1,1.0,1,48,1,100,0,0,29,2900,1,0.0,0.0,0.0,0.0,2.0,1.0,10.0,643,846,15,51FEF475-5CA3-4C51-86D9-1911DAD54D57
2908644,1930,193004,3036928,1.0,,8,2,4,1.0,1,20,1,100,0,0,48,4800,1,0.0,0.0,0.0,0.0,0.0,1.0,10.0,740,849,19,0286BA31-7EEF-4E0A-8D8C-B6B434D9300E
1904481,1920,192003,2133447,1.0,,8,1,2,1.0,2,32,1,100,0,0,453,45300,5,2.0,3.0,,,2.0,1.0,10.0,999,0,0,AA538B47-B115-45F9-A097-F96A558302C3
1904293,1920,192003,2133396,1.0,,8,1,3,1.0,2,9,1,100,0,0,20,2000,3,0.0,0.0,,,0.0,1.0,10.0,999,0,0,69D14AEA-85A3-4983-A4EF-36C30D8BD5E1
126457,1880,188003,645653,1.0,,8,1,2,1.0,2,35,1,100,0,0,25,2500,1,,,,,,1.0,10.0,980,0,0,7358e554-e365-4a7d-9cc8-d78832548648
3890069,1940,194002,3856755,1.0,,8,1,3,1.0,1,22,1,100,0,0,8,800,0,0.0,,,,,,,990,997,0,C18DEA38-4DFC-4674-9279-9381F7DCBC97
555799,1900,190004,1142904,1.0,,8,1,2,1.0,2,8,1,100,0,0,8,800,4,0.0,0.0,,,0.0,1.0,10.0,999,0,0,A172D9A3-D1CA-4FC3-BC12-F4DAEEDFCBB5
2134936,1920,192003,2197454,1.0,,8,1,3,1.0,2,18,1,100,0,0,465,46500,5,2.0,2.0,,,2.0,1.0,10.0,999,0,0,0FA239A5-AD7B-463D-A4BD-7F2EF6EF0231
2495421,1920,192003,2289191,1.0,,8,1,2,1.0,2,47,1,100,0,0,39,3900,1,0.0,0.0,,,2.0,1.0,10.0,999,0,0,71485611-CB83-4603-9615-B46BADD82DF0
3703537,1940,194002,3798904,1.0,,8,1,6,1.0,2,7,1,100,1,100,8,800,0,0.0,,,,,,,999,0,0,6E938760-700E-42C7-B88A-135024421024
4383722,1940,194002,4001065,1.0,,8,1,1,1.0,1,48,1,100,0,0,36,3600,0,0.0,,,,,,,33,337,38,4B5E7B06-7FF9-466C-ABE8-45A710FD425B
3537372,1930,193004,3205376,1.0,,8,1,3,1.0,1,18,1,100,0,0,8,800,1,0.0,0.0,0.0,0.0,2.0,1.0,10.0,970,627,20,591BD70B-A516-40DB-AE58-938B70DFBD78
3406674,1930,193004,3172953,1.0,,8,1,3,1.0,2,1,1,100,0,0,8,800,1,0.0,0.0,0.0,0.0,0.0,1.0,10.0,999,0,0,5805FA37-092D-42AB-9320-5DCEC3AE377B
