,YEAR,SAMPLE,SERIAL,HHWT,CLUSTER,STATEFIP,STRATA,GQ,PERNUM,PERWT,SEX,AGE,RACE,RACED,HISPAN,HISPAND,BPL,BPLD,NATIVITY,CITIZEN,YRSUSA2,LANGUAGE,LANGUAGED,SPEAKENG,RACESING,RACESINGD,OCC1950,IND1950,OCCSCORE
109217,1930,193002,150291,19.33,1930001502912.0,8,23120802301.0,1,3,19.33,1,19,1,100,1,100,35,3500,1,0.0,0.0,0.0,0.0,2.0,1,10,820,105,9
46114,1900,190001,59977,19.4,1900000599771.0,8,12810800002.0,2,1,19.4,1,38,1,100,0,0,426,42600,5,2.0,2.0,,,2.0,1,10,100,105,14
163634,1940,194001,355227,64.0,1940003552271.0,8,585837.0,1,10,64.0,2,4,1,100,0,0,8,800,0,0.0,,,,,1,10,999,0,0
13926,1880,188002,91842,10.02,,8,,1,1,10.02,1,35,1,100,0,0,36,3600,1,,,,,,1,10,510,246,24
17100,1880,188002,92795,10.32,,8,,2,4,10.33,1,37,1,100,0,0,42,4200,1,,,,,,1,10,99,859,33
95462,1930,193001,30596,100.95,1930000305961.0,8,23810803100.0,1,1,100.95,1,54,1,100,0,0,18,1800,1,0.0,0.0,0.0,0.0,2.0,1,10,290,687,42
75255,1910,191003,1449201,71.71,1910014492011.0,8,12030805900.0,1,5,71.71,1,31,1,100,0,0,19,1900,1,0.0,0.0,1.0,100.0,2.0,1,10,310,746,22
944,1880,188001,608801,82.33,1880006088011.0,8,8810800501.0,1,5,82.33,1,17,1,100,0,0,36,3600,1,,,,,,1,10,690,499,23
112542,1930,193002,151238,20.05,1930001512382.0,8,23320803100.0,1,4,20.05,2,0,1,100,0,0,8,800,1,0.0,0.0,0.0,0.0,0.0,1,10,999,0,0
83740,1920,192001,1814801,94.78,1920018148011.0,8,15720803702.0,1,4,94.78,1,21,1,100,0,0,434,43400,5,4.0,3.0,,,2.0,1,10,830,105,4
18732,1880,188002,93256,10.32,,8,,2,1,10.33,1,28,1,100,0,0,414,41400,5,,,,,,1,10,650,239,24
39374,1900,190001,58264,19.09,1900000582641.0,8,12420800001.0,1,3,19.09,2,2,1,100,0,0,8,800,1,0.0,0.0,,,0.0,1,10,999,0,0
38336,1900,190001,57988,19.96,1900000579881.0,8,12410800002.0,1,3,19.96,2,6,1,100,0,0,29,2900,1,0.0,0.0,,,0.0,1,10,999,0,0
103972,1930,193002,148799,19.33,1930001487992.0,8,22920800300.0,1,1,19.33,1,18,1,140,1,100,8,800,1,0.0,0.0,0.0,0.0,2.0,1,12,820,105,9
85929,1920,192001,1871101,99.91,1920018711011.0,8,16210803101.0,1,2,99.91,2,36,1,100,0,0,29,2900,1,0.0,0.0,,,2.0,1,10,999,0,0
140994,1930,193002,159514,19.33,1930001595142.0,8,24720808300.0,1,4,19.33,1,6,1,100,0,0,8,800,1,0.0,0.0,0.0,0.0,0.0,1,10,999,0,0
118065,1930,193002,152854,20.05,1930001528542.0,8,23620803102.0,1,1,20.05,1,31,1,100,0,0,39,3900,1,0.0,0.0,0.0,0.0,2.0,1,10,0,646,38
82470,1920,192001,1784801,107.06,1920017848011.0,8,15510801101.0,1,1,107.06,1,33,1,100,1,100,200,20000,5,3.0,1.0,,,1.0,1,10,970,506,20
60465,1900,190003,1051901,82.2,1900010519011.0,8,12420805502.0,1,2,82.2,2,30,1,100,1,100,35,3500,4,0.0,0.0,,,1.0,1,10,995,0,0
111968,1930,193002,151070,20.05,1930001510702.0,8,23310803100.0,1,5,20.05,1,30,1,100,0,0,8,800,1,0.0,0.0,0.0,0.0,2.0,1,10,690,488,23
61319,1900,190003,1072501,100.12,1900010725011.0,8,12710807901.0,1,2,100.12,2,18,1,100,0,0,8,800,4,0.0,0.0,,,2.0,1,10,995,0,0
7735,1880,188002,89974,5.08,,8,,2,3,5.08,1,5,1,100,0,0,36,3600,1,,,,,,1,10,999,0,0
130613,1930,193002,156809,20.88,1930001568092.0,8,24310805501.0,1,4,20.88,1,6,1,100,0,0,8,800,4,0.0,0.0,0.0,0.0,0.0,1,10,999,0,0
138608,1930,193002,158901,20.42,1930001589012.0,8,24620807500.0,1,7,20.42,1,5,1,140,1,100,48,4800,4,0.0,0.0,0.0,0.0,0.0,1,12,999,0,0
161517,1940,194001,284013,100.0,1940002840131.0,8,48000000.0,1,2,100.0,2,47,1,100,0,0,8,800,0,0.0,,,,,1,10,999,0,0
39974,1900,190001,58415,19.56,1900000584151.0,8,12510800003.0,1,4,19.56,1,15,1,100,0,0,8,800,1,0.0,0.0,,,2.0,1,10,983,0,0
118637,1930,193002,153022,20.05,1930001530222.0,8,23710803101.0,1,2,20.05,2,49,1,100,0,0,8,800,1,0.0,0.0,0.0,0.0,2.0,1,10,999,0,0
3874,1880,188002,89043,9.95,,8,,2,4,9.95,1,27,1,100,0,0,42,4200,1,,,,,,1,10,290,0,42
95785,1930,193001,30725,100.95,1930000307251.0,8,23820803101.0,4,1,100.95,1,43,1,100,0,0,433,43300,5,3.0,5.0,16.0,1600.0,2.0,1,10,490,636,24
89757,1920,192001,1960901,97.51,1920019609011.0,8,16910808902.0,1,4,97.51,2,17,1,100,0,0,29,2900,1,0.0,0.0,,,2.0,1,10,999,0,0
125412,1930,193002,155228,20.47,1930001552282.0,8,24110803900.0,1,7,20.47,1,58,1,100,0,0,31,3100,1,0.0,0.0,0.0,0.0,2.0,1,10,290,668,42
30273,1900,190001,55985,19.56,1900000559851.0,8,12010800001.0,1,2,19.56,2,46,1,100,0,0,34,3400,4,0.0,0.0,,,2.0,1,10,999,0,0
114930,1930,193002,151933,20.05,1930001519332.0,8,23420803102.0,1,7,20.05,2,26,1,100,0,0,36,3600,2,0.0,0.0,0.0,0.0,2.0,1,10,370,578,21
21229,1880,188002,93949,10.02,,8,,1,3,10.02,1,42,1,100,0,0,39,3900,1,,,,,,1,10,650,239,24
5459,1880,188002,89503,9.95,,8,,1,1,9.95,1,46,1,100,0,0,453,45300,5,,,,,,1,10,73,669,40
71492,1910,191003,1362401,71.71,1910013624011.0,8,11220801902.0,1,3,71.71,2,11,1,100,0,0,8,800,2,0.0,0.0,1.0,100.0,2.0,1,10,999,0,0
69490,1910,191002,1501301,100.0,1910015013011.0,8,12410809500.0,1,3,100.0,1,10,1,100,0,0,8,800,1,0.0,0.0,1.0,100.0,2.0,1,10,999,0,0
31572,1900,190001,56345,19.56,1900000563451.0,8,12020800001.0,1,2,19.56,2,25,1,100,0,0,55,5500,1,0.0,0.0,,,2.0,1,10,999,0,0
24986,1900,190001,54603,19.56,1900000546031.0,8,11710800001.0,6,1,19.56,1,59,1,100,0,0,33,3300,1,0.0,0.0,,,2.0,1,10,290,506,42
111846,1930,193002,151025,20.05,1930001510252.0,8,23220803102.0,1,5,20.05,2,10,1,100,0,0,8,800,1,0.0,0.0,0.0,0.0,0.0,1,10,999,0,0
83007,1920,192001,1797601,90.72,1920017976011.0,8,15610801302.0,1,5,90.72,1,1,1,100,0,0,8,800,1,0.0,0.0,,,0.0,1,10,999,0,0
162262,1940,194001,310837,100.0,1940003108371.0,8,526408.0,1,2,100.0,2,65,1,100,0,0,455,45500,5,2.0,,,,,1,10,999,0,0
51877,1900,190001,61480,19.12,1900000614801.0,8,13020800001.0,1,3,19.12,2,0,1,100,0,0,8,800,1,0.0,0.0,,,0.0,1,10,999,0,0
57398,1900,190002,16059022,101.0,1900160590221.0,8,12710807701.0,4,1,101.0,1,14,3,300,0,0,4,400,1,0.0,0.0,,,2.0,3,32,983,0,0
261,1870,187001,435601,100.15,1870004356011.0,8,9510806503.0,1,1,100.15,1,47,1,100,0,0,36,3600,1,2.0,,,,,1,10,290,699,42
126921,1930,193002,155707,19.82,1930001557072.0,8,24120804100.0,6,2,19.82,2,69,1,100,0,0,39,3900,1,0.0,0.0,0.0,0.0,2.0,1,10,999,0,0
110838,1930,193002,150702,19.99,1930001507022.0,8,23210803702.0,1,3,19.99,1,3,1,100,0,0,29,2900,2,0.0,0.0,0.0,0.0,0.0,1,10,999,0,0
39827,1900,190001,58377,19.56,1900000583771.0,8,12420800002.0,1,5,19.56,1,5,1,100,0,0,8,800,3,0.0,0.0,,,0.0,1,10,999,0,0
144684,1930,193002,160579,20.48,1930001605792.0,8,24910810101.0,4,1,20.48,1,67,1,100,0,0,454,45400,5,3.0,5.0,34.0,3401.0,2.0,1,10,290,656,42
74011,1910,191003,1419001,71.71,1910014190011.0,8,11720803102.0,1,1,71.71,1,34,1,100,0,0,17,1700,1,0.0,0.0,1.0,100.0,2.0,1,10,73,669,40
95176,1930,193001,30521,100.95,1930000305211.0,8,23710803100.0,1,4,100.95,2,17,1,100,0,0,8,800,1,0.0,0.0,0.0,0.0,2.0,1,10,999,0,0
164477,1940,194001,380567,100.0,1940003805671.0,8,16953.0,1,3,100.0,2,23,2,200,0,0,8,800,0,0.0,,,,,2,20,999,0,0
157061,1940,194001,140568,100.0,1940001405681.0,8,174348.0,1,1,100.0,1,58,1,100,0,0,20,2000,0,0.0,,,,,1,10,290,746,42
58516,1900,190003,1008101,101.26,1900010081011.0,8,11920800500.0,1,1,101.26,1,25,1,100,0,0,405,40500,5,3.0,1.0,,,2.0,1,10,510,246,24
94970,1930,193001,30465,100.95,1930000304651.0,8,23610803102.0,1,3,100.95,2,1,1,100,0,0,8,800,1,0.0,0.0,0.0,0.0,0.0,1,10,999,0,0
23852,1880,188002,94797,10.15,,8,,1,2,10.16,2,30,1,100,0,0,17,1700,1,,,,,,1,10,980,0,0
8411,1880,188002,90183,10.02,,8,,4,1,10.02,1,58,1,100,0,0,414,41400,5,,,,,,1,10,970,506,20
40102,1900,190001,58457,19.56,1900000584571.0,8,12510800003.0,1,14,19.56,1,1,1,100,0,0,8,800,1,0.0,0.0,,,0.0,1,10,999,0,0
99241,1930,193001,31753,100.95,1930000317531.0,8,24610808701.0,1,2,100.95,2,25,1,100,0,0,31,3100,1,0.0,0.0,0.0,0.0,2.0,1,10,999,0,0
60708,1900,190003,1057701,100.86,1900010577011.0,8,12520806501.0,1,1,100.86,2,51,1,100,0,0,39,3900,1,0.0,0.0,,,2.0,1,10,995,0,0
30125,1900,190001,55951,19.56,1900000559511.0,8,12010800001.0,1,2,19.56,2,35,1,100,0,0,400,40000,5,0.0,1.0,,,2.0,1,10,999,0,0
4755,1880,188002,89277,9.95,,8,,4,24,9.95,1,35,1,100,0,0,414,41400,5,,,,,,1,10,970,0,20
