,variable,year,population
427,Vermont,1910,2025
428,SOUTH AMERICA,1910,57
429,North Dakota,1910,584
430,Wales,1910,2009
431,Florida,1910,349
432,Turkey,1910,376
433,Austria,1910,13042
434,Nevada,1910,257
435,Georgia,1910,2360
436,Mississippi,1910,1250
437,Arizona,1910,496
438,Italy,1910,14456
439,Japan,1910,2231
440,Switzerland,1910,1700
441,Rhode Island,1910,503
442,Oregon,1910,702
443,Belgium,1910,374
444,India,1910,40
445,Montana,1910,716
446,District of Columbia,1910,324
447,Yugoslavia,1910,158
448,Alaska,1910,12
449,Delaware,1910,409
450,Cuba,1910,37
451,Czechoslovakia,1910,120
452,Poland,1910,132
453,Luxembourg,1910,21
454,Syria,1910,40
455,Hawaii,1910,23
456,AFRICA,1910,37
457,Puerto Rico,1910,3
458,Philippines,1910,14
459,China,1910,314
460,Bulgaria,1910,420
461,Portugal,1910,34
462,West Indies,1910,52
463,Australia and New Zealand,1910,47
464,"Europe, ns",1910,19
465,Lithuania,1910,2
466,Central America,1910,5
467,"Asia, nec/ns",1910,14
468,Israel/Palestine,1910,1
469,Indonesia,1910,2
470,Atlantic Islands,1910,2
471,U.S. Virgin Islands,1910,3
472,Pacific Islands,1910,1
473,Iran,1910,1
474,"Central Europe, ns",1910,3
475,American Samoa,1910,1
476,Native American,1910,2
477,Korea,1910,5
478,"Middle East, ns",1910,11
479,Kansas,1920,55320
480,New York,1920,19597
481,Colorado,1920,319618
482,New Jersey,1920,2819
483,Missouri,1920,64119
484,Kentucky,1920,11495
485,Denmark,1920,2737
486,Norway,1920,1537
487,Nebraska,1920,37035
488,Pennsylvania,1920,20183
489,Ohio,1920,26508
490,Iowa,1920,45773
491,Arkansas,1920,6539
492,England,1920,9712
493,Ireland,1920,6331
494,Sweden,1920,10220
495,Minnesota,1920,6113
496,Germany,1920,11927
497,Alabama,1920,2836
498,Texas,1920,13480
499,South Dakota,1920,2719
500,North Dakota,1920,922
501,Italy,1920,12051
502,Illinois,1920,52912
503,Indiana,1920,21329
504,Oklahoma,1920,14236
505,Wisconsin,1920,11619
506,California,1920,3745
507,Michigan,1920,10460
508,Spain,1920,300
509,Maryland,1920,1736
510,Tennessee,1920,7216
511,South Carolina,1920,672
512,Virginia,1920,4145
513,Switzerland,1920,1505
514,Canada,1920,9048
515,Massachusetts,1920,4210
516,Maine,1920,1855
517,SOUTH AMERICA,1920,268
518,New Mexico,1920,16229
519,Mississippi,1920,1907
520,West Virginia,1920,3423
521,Georgia,1920,2581
522,Scotland,1920,3467
523,Other USSR/Russia,1920,16898
524,Vermont,1920,1515
525,Montana,1920,1386
526,Florida,1920,524
527,Arizona,1920,677
528,North Carolina,1920,2557
529,New Hampshire,1920,671
530,Washington,1920,1684
531,Connecticut,1920,1456
532,Hungary,1920,1131
533,Abroad (unknown) or at sea,1920,108
534,Mexico,1920,11293
535,Utah,1920,3284
536,Austria,1920,6831
537,Wyoming,1920,3364
538,Japan,1920,1807
539,District of Columbia,1920,343
540,Bulgaria,1920,344
541,Oregon,1920,1346
542,Romania,1920,349
543,Idaho,1920,1191
544,Louisiana,1920,1614
545,Poland,1920,1823
546,"United States, ns",1920,4235
547,Czechoslovakia,1920,1689
548,Belgium,1920,448
549,Delaware,1920,334
550,Yugoslavia,1920,1708
551,Greece,1920,1773
552,Hawaii,1920,37
553,Australia and New Zealand,1920,143
554,France,1920,1450
555,Netherlands,1920,878
556,Finland,1920,880
557,Rhode Island,1920,435
558,Central America,1920,10
559,AFRICA,1920,65
560,Syria,1920,291
561,Turkey,1920,75
562,Lithuania,1920,119
563,Korea,1920,16
564,Nevada,1920,337
565,Portugal,1920,40
566,Wales,1920,1521
567,Luxembourg,1920,100
